npsn,nama_sekolah,alamat,kelurahan,kecamatan,jumlah_siswa,jumlah_guru,kepala_sekolah,telp_sekolah,akreditasi,latitude,longitude
20100170,SMA Kanisius,Jl. Menteng Raya 64,Kebon Sirih,Menteng,700,44,"J. HERU HENDARTO, SJ",021 3193646,A,-6.185372,106.385101
20100173,SMA Paskalis,Jl. Ranjau 13,Sumur Batu,Kemayoran,132,11,"Rebertus Hemu, SS",021 4223046,A,-6.161159,106.872818
20100174,SMA Perg. Nasional,Jl. Cempaka Baru Timur,Sumur Batu,Kemayoran,59,11,,021 97943242,B,-6.170563,106.861786
20100175,SMA Advent Salemba,Jl Salemba Raya 47,Paseban,S e n e n,140,15,"Lis Indriastuti Hardiningsih,",021 31901286,A,-6.197712,106.850998
20100177,SMA PGRI 14,Jl. Setia Kawan 3 No. 25,Gambir,Gambir,35,8,ASALTA SEMBIRING,021 63868909,Tidak Terakreditasi,-6.164595,106.801178
20100179,SMA Santa Paulus,Jl. Setia Kawan Raya 39-41,Gambir,Gambir,53,16,"YUNITA SURBAKTI,S.Pd",021 63861345,B,-6.164335,106.801422
20100180,SMA Sunda Kelapa,Jl. Taman Sunda Kelapa 16 A,Menteng,Menteng,77,15,Ir. AMINAH,021 3902839,A,-6.201236,106.832047
20100181,SMA Taman Madya 1,Jl. Sunter Bendungan Jago 11,Serdang,Kemayoran,239,24,Muryanti,021 42872412,A,-6.154990,106.860779
20100182,SMA Muhammadiyah 2,Jl. Garuda No. 33,Gunung Sahari Selatan,Kemayoran,139,16,"Puji Astuti, S.Pd",021 42881266,A,-6.161700,106.842796
20100183,SMA Muhammadiyah 16,Jl. Kalibaru Barat No. 52 D,Bungur,S e n e n,122,17,MAKMUN,021 4202952,B,-6.169870,106.846390
20100184,SMA Muhammadiyah 14,Jl. Danau Limboto No. 2,Bendungan Hilir,Tanah Abang,23,16,"Trisna Embarsyah, S.Pd.",021 5708998,B,-6.208039,106.808128
20100185,SMA Kartini I,Jl. Kalibaru Timur V No. 1,Serdang,Kemayoran,247,23,"Drs. H. SURADI, MM",021 4263602,A,-6.172263,106.848305
20100186,SMAK 2 Penabur Jakarta,Jl. Pintu Air Raya 11,Pasar Baru,Sawah Besar,368,34,Boanerges Tiberias,021 3841721,A,-6.166532,106.830910
20100187,SMA Kristen 3 Penabur,Jl. Gunung Sahari 90a,Gunung Sahari Selatan,Kemayoran,606,41,"Dra. Chrisanty Budi Santoso, Apt.",021 4214883,A,-6.166684,106.839676
20100188,SMA K. Bethel,Jl.Petamburan IV No.4,Petamburan,Tanah Abang,67,16,"O. Lyanna N.,M.pd",021 53650687,A,-6.198100,106.810997
20100189,SMA Kristen Kanaan,Jl. Kran Raya No. 7,Gunung Sahari Selatan,Kemayoran,229,18,Indri Astuti S.Pd,021 4208481,A,-6.159574,106.846382
20100190,SMA Kristen Karunia,Jl. Kartini Raya No. 10 A,Pasar Baru,Sawah Besar,50,21,Yanto Suwendi,021 3841687,A,-6.155400,106.836197
20100191,SMA Kristen Ketapang 1,Jl. K. H. Zainul Arifin 35,Petojo Utara,Gambir,106,18,VINCENSIA ISNA KUNTARA,021 6322857,A,-6.160697,106.814026
20100193,SMA Perguruan Ksatriya,Jl. Percetakan Negara D 232,Cempaka Putih Barat,Cempaka Putih,423,41,"DRS. SARTONO, M. SI",021 4256689,A,,
20100194,SMA Mahatma Gandhi School,JL. TABING BLOK B-16 NO.3,Gunung Sahari Utara,Sawah Besar,175,18,"PRAMESTI SETIORINI, S.Pd",021 6542241,A,-6.153480,106.838127
20100195,SMA Muhammadiyah 1,Jl. Kramat Raya No. 49,Kramat,S e n e n,284,24,SITI MURSIDAH Dra,021 3101338,A,-6.185379,106.844604
20100196,SMA Taman Madya 5,Jl. Percetakan Negara VIII/16,Cempaka Putih Barat,Cempaka Putih,52,14,"HABIBURRAHMAN, S.Pd.MM.","021 4245365, 021 42888311",A,-6.192113,106.859894
20100197,SMA Tarsisius 1,Jl. KH. Hasyim Ashari No. 26,Petojo Utara,Gambir,225,27,Drs. STEPHANUS SUBARNO,021 63854382,A,-6.164929,106.816467
20100198,SMA Santa Theresia,Jl. Haji Agus Salim No. 75,Gondangdia,Menteng,494,34,"Dra.Godeliva K. Saptariningsih,MPd.",021 3142593,A,-6.189573,106.826012
20100199,SMA Negeri 68,Jl. Salemba Raya 18,Kenari,S e n e n,867,56,"Asep Kustiana, S.Pd",021 3142929,A,-6.197708,106.850815
20100200,SMA Negeri 7,Jl. Karet Pasar Baru Barat V,Karet Tengsin,Tanah Abang,624,49,"Drs. E. Awaluddin S., M.Pd.",021 5720934,A,-6.166497,106.819839
20100201,SMA Negeri 77,Jl. Cempaka Putih Tengah 17,Cempaka Putih Timur,Cempaka Putih,470,42,"GATOT HANDOYO, S.Pd.",021 4243119,A,-6.160353,106.873917
20100210,SMA Negeri 5,Jl. Raya Sumur Batu,Sumur Batu,Kemayoran,853,47,"Drs. H. Yumari, M.Si",021 4243869,A,-6.158845,106.866791
20100211,SMA Negeri 4,Jl. Batu No. 3,Gambir,Gambir,450,40,DRS. ADRIANSYAH,021 3843937,A,-6.178838,106.832809
20100212,SMA Negeri 35,Jl. Mutiara,Karet Tengsin,Tanah Abang,469,42,Dra. Atik Siti Atikah,021 5709328,A,-6.198582,106.815552
20100213,SMA Triwibawa,Jl. Rajawali Selatan I No.30,Gunung Sahari Utara,Sawah Besar,110,14,"Abdul Haris, SE.",021 6414962,B,-6.146523,106.837769
20100214,SMA Yapermas,Jl. Anyer No.7,Menteng,Menteng,100,12,Drs. Jangasih S,021 31930583,A,-6.204000,106.844002
20100215,SMA YP IPPI Petojo,Jl. Petojo Barat III/2,Petojo Utara,Gambir,423,29,"HILDA OCTAVIANI,S.Pd",021 6318984,A,-6.163697,106.811821
20100216,SMA Negeri 1,Jl. Budi Utomo No. 7,Pasar Baru,Sawah Besar,636,36,"Dra. Mas Ayu Yuliana,M.Pd",021 3865001,A,-6.164364,106.836617
20100217,SMA Negeri 10,Jl. Mangga Besar XIII,Mangga Dua Selatan,Sawah Besar,517,36,"Drs. Agus Wahyu Sutopo, M.Pd",021 6590192,A,-6.135178,106.826233
20100218,SMA Negeri 20,Jl. Krekot Bunder III/1 Kel. Pasar Baru,Pasar Baru,Sawah Besar,532,30,"Agnes Sukasni, S.Pd, M.Pd",021 3440021,A,-6.142603,106.831635
20100219,SMA Negeri 24,Jl. Lapangan Tembak Senayan,Gelora,Tanah Abang,509,37,"Drs. SUNARYANTO, M.Pd",021 5736984,A,-6.195851,106.798676
20100221,SMA Negeri 25,Jl. AM. Sangaji No. 22-24,Gambir,Gambir,533,36,Drs. Ahmad Paisal MM.,021 6331921,A,-6.149430,106.811035
20100223,SMA Negeri 27,Jl. Mardani Raya,Johar Baru,Johar Baru,478,41,"ZULHAMSHAH, S.Pd, M.Si.",021 4245969,A,-6.182500,106.861298
20100224,SMA Negeri 30,Jl. Jend. A. Yani,Cempaka Putih Timur,Cempaka Putih,654,53,"Drs. DWI ARSONO, M.Si",021 4244015,A,-6.124170,106.874786
20100483,SMA 3 PSKD,Jl. Kwini I No. 1,Senen,S e n e n,35,25,,021 3456193,A,-6.180654,106.838379
20100486,SMA Bunda Mulia,Jl. AM. Sangaji 20,Petojo Utara,Gambir,321,19,"PASIANUS BASALI DAELI, S.Pd",021 6329005,A,-6.163604,106.812454
20100487,SMA Cempaka,Jl. Cempaka Putih Barat XXI,Cempaka Putih Barat,Cempaka Putih,0,22,Dra. EMNI YUSTRI,021 4204285,B,-6.178611,106.863922
20100488,SMA Dharma Bakti,Jl. Mardani Raya No. 7,Cempaka Putih Barat,Cempaka Putih,1,11,Drs. SOEJITNO,021 4204336,B,-6.186516,106.863182
20100489,SMA Fransiskus 1,Jl. Kramat Raya 67,Kramat,S e n e n,60,22,MARSUDIN F. MALAU,021 3909254,A,-6.186638,106.844254
20100490,SMA PSKD 1,Jl. Diponegoro No. 80,Kenari,S e n e n,101,24,"YOHANNES P.SIAGIAN,S.Psi.MM.MBA",021 3904418,A,-6.201397,106.841988
20100505,SMA Islam Al Jihad,Jl. Kramat Jaya Baru,Johar Baru,Johar Baru,49,16,"ABDUL HALIK,S.Pd",021 4258451,B,-6.185635,106.851807
20100599,SMA Gandhi Ancol,Jl. Pangandaran IX Blok B 4 No. 1,Ancol,Pademangan,201,33,Drs. Ketut Suarma,021 6905768,A,-6.123298,106.822403
20100600,SMA Islam Al Azhar Kelapa Gading,Jl. Bulevar Timur,Pegangsaan Dua,Kelapa Gading,250,29,"Drs.H.Dwiyono Yulianto Prayitno, M.M.",021 4532440,A,-6.163638,106.910133
20100601,SMA Kristen 5 BPK Penabur,Jl. Hibrida Raya AQ-3 Kelapa Gading Permai,Kelapa Gading Barat,Kelapa Gading,785,67,"Dra. Duma M.S. Hutahaean, M.M.",021 4515673,A,-6.147488,106.908257
20100603,SMA Kristen Yusuf,Jl. Arwana II No. 16 Jembatan Dua,Pejagalan,Penjaringan,261,20,VENDY,021 6693111,A,-6.141484,106.794708
20100604,SMA Mahatma Gading,Jl. Boulevard Bukit Gading Raya Villa Gading Indah,Kelapa Gading Barat,Kelapa Gading,164,31,"Dra.Susy Poernasusila, MM",021 45843591,A,-6.161327,106.894310
20100605,SMA Methodist,Jl. Terusan Bandengan Utara No.91 AY,Pluit,Penjaringan,265,18,"Drs. Menason Setiawan, M.Pd.",021 6620212,A,-6.135980,106.790436
20100606,SMA Mutiara I,Jl. Komp. Yos Sudarso II/19,Kebon Bawang,Tanjung Priok,64,26,"Drs. H.Rumalutur Idris, BSc,MM",021 4352520,B,-6.111216,106.892548
20100607,SMA Permai,Jl. Pluit Karang Barat Blok O-VI No. 1,Pluit,Penjaringan,348,27,Drs. Robertus Kusnandar,021 6617515,A,-6.121052,106.774132
20100608,SMA PGRI 12 Jakarta,Jl. Tabah I No. 5 Komp. TNI AL Kodamar III,Kelapa Gading Barat,Kelapa Gading,86,23,"SITI SUHAEDAH, MM",021 4529428,A,-6.163339,106.885109
20100610,SMA Pusaka Abadi,Jl. V No. 28 Teluk Gong,Pluit,Penjaringan,158,20,Ir. ATIK WIDANARTI,021 6601644,A,-6.139305,106.784668
20100611,SMA Pusaka Nusantara,Jl. Edam 2 No. 17,Tanjung Priok,Tanjung Priok,29,12,"Hj. Maya Sri Astuti, S.Pd.",021 4301552,B,-6.111048,106.891861
20100612,SMA St. Nicholas,Jl. Pantai Indah Utara Blok S No. 8 PIK,Kapuk Muara,Penjaringan,118,11,"SOLEMAN PEPANG, S.Si",021 55965755,A,-6.139999,106.775726
20100613,SMA Tarakanita 2,Jl. Pluit Permai Dalam I/10,Pluit,Penjaringan,305,35,"FRANSISCUS ASISI SUYONO, SFK",021 6611478,A,-6.114635,106.792068
20100614,SMA Fons Vitae 2,Jl. Kramat Jaya No. 1 B,Lagoa,K o j a,138,17,"SR. M. Petra, OSF, M.Pd",021 43913561,A,-6.114343,106.916794
20100616,SMA Don Bosco I,Jl. Raya Boulevar Timur Kelapa Gading,Kelapa Gading Timur,Kelapa Gading,229,23,CEB. SETYONINGSIH,021 4528509,A,-6.265490,106.914291
20100628,SMA Budi Agung,Jl. Terusan Bandengan Utara No. 95 Blok F.2-12,Penjaringan,Penjaringan,232,14,Drs. Abdullah Siroj,021 6606420,A,-6.134670,106.788101
20100629,SMA Bunga Hati Bangsa,Jl. Villa Kapuk Indah Blok GI,Kapuk Muara,Penjaringan,76,13,MUSRINGUDIN,021 5414529,B,-6.137856,106.763725
20100630,SMA Dharma Budhi Bhakti,Jl. Agung Tengah 7 No. 1 Blok i-6,Sunter Agung,Tanjung Priok,90,21,"Simon Petrus L, S.Pd, MM.",021 6513830,A,-6.800000,106.519997
20100631,SMA Diakonia,Jl. Pluit Utara Raya No. 2,Pluit,Penjaringan,65,9,Maria Aloysia Frieda Pramono,"021 6693742, 021 6610519",A,-6.112159,106.789429
20100632,SMA Tunas Gading,Jl. Gading Putih Raya P2/23,Kelapa Gading Timur,Kelapa Gading,52,13,"Simson Sipayung, ST.",021 4520726,B,-6.100000,106.540001
20100778,SMA Tunas Karya,Jl. Pelepah Kuning III Kelapa Gading Permai,Kelapa Gading Timur,Kelapa Gading,0,18,,021 4520738,A,-6.160925,106.903465
20100779,SMA Negeri 75,Jl. Tipar Cakung,Semper Barat,Cilincing,762,41,"Drs. Agus Jaya, M. Biormed",021 4402862,A,-6.152633,106.926872
20100780,SMA Negeri 80,Jl. Sunter Karya Selatan V,Sunter Agung,Tanjung Priok,787,42,,021 64716130,A,-6.227593,106.931595
20100781,SMA Negeri 83,Jl. Tipar Cakung,Sukapura,Cilincing,0,41,,021 4403010,A,-6.142944,106.927132
20100782,SMA Negeri 92,Jalan Asrama Pemadam Kebakaran,Semper Barat,Cilincing,522,47,Drs. RASMADI,021 44832842,A,-6.099591,106.926392
20100795,SMA Negeri 73,Jl. Raya Cakung Cilincing,Semper Timur,Cilincing,478,42,"Drs.Ridwan Taopik, M.Pd",021 4401622,A,-6.111403,106.924530
20100796,SMA Negeri 72,Jl. Prihatin Komp. TNI AL,Kelapa Gading Barat,Kelapa Gading,756,46,HENI RUSTINI,021 4502584,A,-6.165924,106.882843
20100797,SMA Negeri 52,Jl. Raya Tugu Semper,Semper Barat,Cilincing,643,48,"ALI MUKODAS,S.Pd, M.Si.",021 4405378,A,-6.122282,106.923836
20100799,SMA Yakobus,"Jl. Pegangsaan II Km. 3,5",Pegangsaan Dua,Kelapa Gading,538,44,"Drs. Johannes Romiyono, M. Pd",021 46826446,A,-6.153363,106.915459
20100800,SMA YASPI,Jl. Dinas Kebersihan DKI,Semper Barat,Cilincing,50,14,"FAHRUDDIN PARLUHUTAN, MA.Pd",021 4415755,B,-6.133777,106.926079
20100801,SMA Yusha,Jl. Mawar Luar No.1,Tugu Selatan,K o j a,0,12,"Sainudin, M.Pd",021 4308513,B,-6.119435,106.908455
20100802,SMA Negeri 110,Jl. Bendungan Melayu,Tugu Selatan,K o j a,809,51,"ROMLAH, S.Pd., M.M.",021 4350059,A,-6.133595,106.904053
20100803,SMA Negeri 111,Jl. Bandengan Utara No. 80,Penjaringan,Penjaringan,533,33,Drs. ISDIANTORO,021 6611703,A,-6.127583,106.793236
20100804,SMA Negeri 114,Jl. Pedongkelan No.25 Cilincing,Cilincing,Cilincing,523,30,DRS.SUDOYO,021 4404611,A,-6.088325,106.913399
20100805,SMA Negeri 115,Jl. Rorotan X,Rorotan,Cilincing,426,31,,021 44850555,A,-6.150966,106.958832
20100806,SMA Negeri 13,Jl. Seroja No. 1,Rawa Badak Utara,K o j a,570,50,DRS. JANPIKTOR PASARIBU,021 4303676,A,-6.100956,106.897552
20100807,SMA Negeri 15,Jl. Agung Utara STS Blok A,Sunter Agung,Tanjung Priok,240,36,Dwi Priyo Eko Santoso Drs.,021 6452717,A,-6.120073,106.863907
20100809,SMA Negeri 18,Jl. Warakas I,Warakas,Tanjung Priok,586,43,"Drs.NASIB JOKO UTOMO,MM",021 4353561,A,-6.099591,106.883133
20100810,SMA Negeri 40,Jl. Budi Mulia Raya,Pademangan Barat,Pademangan,694,36,Drs. Bahdar,021 6402464,A,-6.128490,106.840858
20100811,SMA Negeri 41,Jl. Laks. R. E. Martadinata,Sunter Agung,Tanjung Priok,205,39,"Emanuel Hari Wahyana, Drs., MM",021 6518840,A,-6.112307,106.873100
20100812,SMA Negeri 45,Jl. Perintis Kemerdekaan,Kelapa Gading Timur,Kelapa Gading,855,52,"Drs. TULUS WINARDI, SH, M.Si.",021 4527345,A,-6.167692,106.904671
20101173,SMA I Barunawati,Jl. X.III Aipda Ks.Tubun II/III,Slipi,Palmerah,165,18,Dra Tri Ujiati,021 5303083,A,-6.195850,106.803802
20101301,SMA Regina Pacis,Jl. Palmerah Utara I,Palmerah,Palmerah,339,24,"Agustinus Totowijayadi,S.Pd,.M",021 5481662,A,-6.200502,106.796799
20101302,SMA Kristen Ketapang II,Jl. Raya Pos Pengumben No.30,Kedoya Utara,Kebon Jeruk,58,16,Naniek Setyorini Tyasnindarti,0813 10031286,A,-6.178270,106.766502
20101303,SMA Kemurnian,Jl. Kemurnian V No.209,Glodok,Taman Sari,24,11,Nurhayati Rasjid,021 6335236,A,-6.146598,106.813232
20101304,SMA Kristen Almasih,Jl. Kusuma V Blok E 1 No. 1,Wijaya Kusuma,Grogol Petamburan,71,9,"Daniel Sutadi. S.E., S.Th, M.M., M.M.",021 5645127,B,-6.144811,106.777290
20101305,SMA Kristen 4 Bpk Penabur,Jl. Surya Sarana Surya Gardenia,Kedoya Utara,Kebon Jeruk,286,39,"Drs. Lo Sing Kim, M.M.",021 5806750,A,-6.174910,106.762581
20101306,SMA K 1 Penabur,Jl. Tanjung Duren Raya No.4,Tanjung Duren Utara,Grogol Petamburan,1,72,"Endang Setyowati, MM","021 5666962, 021 5666963",A,-6.173593,106.786209
20101307,SMA Kemurnian II,Jl. Green Ville Blok O/209,Duri Kepa,Kebon Jeruk,245,16,"J.I. Aang Nasrudin, S.Pd","021 5605556, 021 5605547",A,-6.168410,106.778931
20101311,SMA Katolik Ricci,Jl. Kemenangan III/47,Glodok,Taman Sari,274,35,Agnes Delviana Simangunsong,021 6392495,A,-6.142681,106.812012
20101313,SMA Kristen Samaria Kudus,Jl. Raya Meruya Utara No. 17,Meruya Utara,Kembangan,69,14,FX. ADI SUCIPTO,021 5850208,A,-6.195965,106.730812
20101314,SMA Lamaholot,Jl. Jagung Raya Bojong Indah,Rawa Buaya,Cengkareng,63,13,"Neu Matheus,S.Pd",021 58356747,B,-6.163400,106.736816
20101318,SMA Providentia,Jl. Kedoya Raya No.35,Kedoya Utara,Kebon Jeruk,25,13,Drs Y.S. Ary Sunarto,021 5652477,A,-6.166198,106.763824
20101322,SMA Pelita II,"Jl. Macan No.23-29, Daan Mogot",Duri Kepa,Kebon Jeruk,152,14,"Ely, S.Pd., M.M.",021 5661707,A,-6.165233,106.771400
20101323,SMA Padindi,Jl. Prepedan No. 38,Kamal,Kalideres,67,13,Drs. Tekad Susilo,021 5561438,B,-6.116134,106.706505
20101324,SMA Katolik Notre Dame,Jl. Puri Kembangan Barat Raya,Kembangan Selatan,Kembangan,220,22,"Edi Sri Widodo, S.Pd",021 5826335,A,-6.188430,106.742805
20101325,SMA Muhammadiyah 24,Jl. Dr. Susilo I,Grogol,Grogol Petamburan,0,8,"Ahmad, S.PdI",021 5674878,B,-6.167032,106.792282
20101326,SMA Muhammadiyah 13,Jl. Gelong Baru No.23 A,Tomang,Grogol Petamburan,68,15,H. Asari. S.Pd.,021 5603724,A,-6.172202,106.800682
20101327,SMA Kalam Kudus III,Jl. Kompleks Green Garden blok B4 no.1&20,Kedoya Utara,Kebon Jeruk,37,16,"Dra. M Yanfi Yusniar, M.Pd",021 5827066,A,-6.160955,106.758766
20101329,SMA Cengkareng 1,Jl. Bambu Larangan No.67,Cengkareng Barat,Cengkareng,333,37,"Drs.Mulyanto,MM",021 5418110,A,-6.142632,106.718071
20101330,SMA Candra Naya,Jl. Jembatan Besi 2 No. 26,Jembatan Besi,Tambora,197,20,"Titiek Evelyn Mangowal, S.T.","021 63860752, 021 63860753",A,-6.149538,106.797493
20101331,SMA Cakra Buana,Jl. Kompleks Kebersihan 17,Tegal Alur,Kalideres,0,12,Surahman SPd.,021 55951441,B,-6.127812,106.719528
20101332,SMA Bunda Hati Kudus,Jl. Rahayu No 22,Jelambar,Grogol Petamburan,364,27,Sr. M. Goretti Indra Sartika P,021 5686329,A,-6.143286,106.779442
20101334,SMA Budi Murni 2,Jl. Puri Kembangan No.2,Kedoya Selatan,Kebon Jeruk,261,17,"BUDIMAN SIHOMBING, SE,MM",021 5804027,A,-6.183142,106.752167
20101337,SMA Bhineka Tunggal Ika,Jl. KH. M. Mansyur No.222 A,Tanah Sareal,Tambora,154,25,"Suharititi, Dra","021 6310070, 021 6340678",A,-6.150791,106.807816
20101338,SMA Baptis Elim,Jl. Dr. Susilo 1 No. 388,Grogol,Grogol Petamburan,26,8,Suharja,021 5683022,A,-6.165932,106.791580
20101339,SMA Baptis Cengkareng Indah,JL. PERUM CENGKARENG INDAH,Kapuk,Cengkareng,53,14,"Natalina, S.Th",021 5450855,B,-6.143810,106.747322
20101342,SMA Damai,Jl. Duri Selatan V No. 29,Duri Selatan,Tambora,89,19,"Bernardus Bubun Beda, SE","021 63855240, 021 6314637",A,-6.160278,106.805138
20101343,SMA Dhammasavana,Jl. Jembatan Padamulya VI No. 176 B,Angke,Tambora,92,12,"Akhmad Chumaedi,S.Pd","021 6300967, 021 6348144",A,-6.144840,106.791382
20101346,SMA Kristen Pancaran Berkat,Jl. Setia Jaya No. 100,Jelambar Baru,Grogol Petamburan,85,20,"AGUSTINA FRIDA SANGIAN,S.Th",021 5638992,B,-6.148200,106.787003
20101348,SMA Islam Tambora,Jl. Tambora Mesjid No. 11,Tambora,Tambora,0,15,Drs.Slamet Riyadi,021 6328948,B,-6.145329,106.809967
20101349,SMA IP 'Yakin',Jl. Bangun Nusa Raya No. 10,Cengkareng Timur,Cengkareng,256,26,Daswati S. Pd,021 5441058,B,-6.149755,106.741409
20101350,SMA Harapan Jaya,Jl. Daan Mogot Km 13,Cengkareng Timur,Cengkareng,113,18,"Junaidi, S.Pd",021 5401920,B,-6.153861,106.734215
